iter	Passed	Remaining
0	152	34227
1	156	17397
2	159	11790
3	162	8973
4	165	7279
5	168	6151
6	171	5342
7	175	4772
8	179	4302
9	182	3921
10	185	3610
11	188	3349
12	192	3134
13	195	2945
14	198	2778
15	201	2632
16	204	2504
17	208	2398
18	211	2294
19	214	2201
20	218	2117
21	221	2040
22	224	1973
23	227	1908
24	230	1847
25	234	1791
26	237	1738
27	240	1695
28	243	1648
29	247	1606
30	250	1567
31	251	1516
32	254	1482
33	257	1449
34	260	1416
35	264	1386
36	267	1358
37	271	1334
38	274	1308
39	277	1285
40	280	1260
41	284	1237
42	287	1217
43	292	1201
44	295	1180
45	298	1160
46	301	1141
47	305	1124
48	308	1107
49	311	1090
50	314	1073
51	317	1056
52	321	1042
53	324	1026
54	327	1012
55	330	998
56	333	984
57	337	971
58	341	960
59	344	947
60	347	934
61	351	923
62	352	906
63	355	894
64	358	883
65	362	872
66	365	861
67	368	851
68	372	841
69	375	830
70	378	820
71	381	811
72	385	802
73	388	793
74	391	783
75	393	770
76	396	761
77	399	753
78	403	745
79	406	736
80	409	728
81	412	719
82	416	711
83	419	703
84	422	695
85	425	687
86	428	679
87	431	672
88	434	664
89	437	656
90	440	649
91	444	641
92	447	635
93	450	628
94	454	621
95	457	614
96	460	607
97	464	602
98	468	596
99	471	589
100	475	583
101	479	577
102	482	571
103	486	565
104	489	559
105	492	553
106	496	547
107	499	541
108	502	535
109	506	529
110	509	523
111	512	517
112	517	513
113	520	507
114	524	501
115	527	495
116	531	490
117	535	485
118	538	479
119	541	474
120	545	469
121	549	463
122	552	457
123	555	452
124	558	446
125	562	441
126	565	436
127	568	430
128	571	425
129	574	419
130	578	415
131	581	410
132	585	404
133	588	399
134	592	395
135	595	390
136	599	384
137	602	379
138	605	374
139	609	369
140	612	364
141	616	360
142	619	355
143	623	350
144	626	345
145	629	340
146	633	335
147	636	330
148	639	326
149	642	321
150	646	316
151	647	310
152	650	306
153	653	301
154	657	296
155	660	292
156	664	287
157	669	283
158	674	279
159	677	275
160	681	270
161	685	266
162	689	262
163	691	257
164	695	252
165	696	247
166	700	243
167	704	239
168	707	234
169	711	230
170	715	225
171	719	221
172	724	217
173	727	213
174	731	208
175	734	204
176	738	200
177	742	196
178	745	191
179	748	187
180	752	182
181	755	178
182	758	174
183	761	169
184	765	165
185	768	161
186	771	156
187	774	152
188	777	148
189	780	143
190	783	139
191	787	135
192	789	130
193	792	126
194	795	122
195	797	117
196	800	113
197	802	109
198	805	105
199	808	101
200	809	96
201	812	92
202	813	88
203	816	84
204	819	79
205	822	75
206	825	71
207	828	67
208	831	63
209	835	59
210	838	55
211	841	51
212	844	47
213	848	43
214	851	39
215	854	35
216	857	31
217	860	27
218	864	23
219	867	19
220	870	15
221	874	11
222	877	7
223	880	3
224	883	0
