iter	Passed	Remaining
0	3	887
1	8	991
2	13	975
3	17	948
4	21	938
5	25	926
6	29	907
7	33	895
8	36	886
9	40	877
10	44	871
11	48	861
12	52	853
13	56	847
14	59	839
15	63	831
16	67	826
17	71	823
18	75	816
19	79	810
20	82	804
21	86	800
22	90	794
23	94	790
24	98	784
25	102	781
26	105	776
27	107	757
28	111	753
29	115	749
30	119	745
31	122	741
32	126	737
33	130	734
34	134	730
35	138	727
36	142	723
37	146	718
38	149	714
39	153	711
40	157	707
41	161	702
42	165	698
43	169	695
44	172	691
45	176	687
46	180	683
47	184	680
48	188	676
49	192	672
50	196	668
51	200	665
52	204	662
53	207	658
54	211	654
55	215	650
56	219	646
57	223	642
58	226	638
59	230	634
60	235	632
61	239	628
62	243	625
63	247	621
64	251	618
65	255	615
66	261	617
67	268	621
68	274	619
69	278	616
70	282	613
71	286	609
72	290	605
73	294	600
74	298	596
75	302	592
76	305	587
77	309	583
78	313	579
79	317	574
80	320	570
81	324	565
82	328	561
83	332	557
84	335	553
85	339	549
86	343	545
87	347	541
88	351	536
89	355	532
90	358	528
91	362	524
92	366	520
93	370	516
94	374	512
95	378	508
96	382	504
97	386	500
98	390	496
99	394	492
100	398	488
101	402	484
102	405	480
103	409	476
104	413	472
105	417	468
106	421	464
107	425	460
108	429	456
109	433	452
110	436	448
111	440	444
112	444	440
113	448	436
114	452	432
115	456	429
116	460	425
117	465	421
118	469	417
119	472	413
120	477	410
121	481	406
122	485	402
123	489	399
124	493	395
125	497	391
126	501	387
127	505	383
128	510	379
129	514	375
130	517	371
131	521	367
132	525	363
133	529	359
134	532	354
135	535	350
136	539	346
137	543	342
138	547	338
139	551	334
140	554	330
141	558	326
142	562	322
143	566	318
144	570	314
145	574	310
146	575	305
147	579	301
148	583	297
149	586	293
150	591	289
151	595	285
152	599	281
153	602	278
154	607	274
155	610	270
156	614	266
157	618	262
158	622	258
159	626	254
160	630	250
161	634	246
162	638	242
163	642	238
164	646	235
165	650	231
166	654	227
167	657	223
168	661	219
169	665	215
170	669	211
171	673	207
172	677	203
173	680	199
174	684	195
175	688	191
176	692	187
177	696	183
178	700	179
179	704	176
180	708	172
181	711	168
182	715	164
183	719	160
184	723	156
185	727	152
186	731	148
187	734	144
188	738	140
189	742	136
190	745	132
191	748	128
192	752	124
193	756	120
194	760	117
195	764	113
196	768	109
197	772	105
198	776	101
199	779	97
200	783	93
201	787	89
202	791	85
203	795	81
204	798	77
205	802	74
206	806	70
207	810	66
208	814	62
209	818	58
210	821	54
211	825	50
212	829	46
213	833	42
214	837	38
215	840	35
216	844	31
217	848	27
218	852	23
219	856	19
220	859	15
221	863	11
222	867	7
223	871	3
224	874	0
